"","area","value","state","county","cbsa","rpp.in.100.dollars","name","ratio"
"1895","0075700",20.61,9,9009,35300,88.4173298,"New Haven-Milford, CT",4.29002085395439
"2413","0041740",19.12,6,6073,41740,85.03401361,"San Diego-Carlsbad, CA",4.44738564905858
"44","0200000",22.32,2,2060,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"45","0200000",22.32,2,2185,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"46","0200000",22.32,2,2013,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"47","0200000",22.32,2,2275,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"48","0200000",22.32,2,2122,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"49","0200000",22.32,2,2016,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"50","0200000",22.32,2,2110,27940,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"51","0200000",22.32,2,2100,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"52","0200000",22.32,2,2261,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"53","0200000",22.32,2,2164,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"54","0200000",22.32,2,2188,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"55","0200000",22.32,2,2068,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"56","0200000",22.32,2,2290,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"57","0200000",22.32,2,2240,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"58","0200000",22.32,2,2130,28540,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"59","0200000",22.32,2,2195,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"60","0200000",22.32,2,2230,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"61","0200000",22.32,2,2270,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"62","0200000",22.32,2,2070,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"63","0200000",22.32,2,2050,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"64","0200000",22.32,2,2105,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"65","0200000",22.32,2,2198,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"66","0200000",22.32,2,2220,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"67","0200000",22.32,2,2282,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"68","0200000",22.32,2,2180,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"69","0200000",22.32,2,2150,NA,101.4198783,"Alaska (Nonmetropolitan Portion)",4.54390135752688
"753","0073450",21.91,9,9013,25540,99.60159363,"Hartford-West Hartford-East Hartford, CT",4.54594220127796
"754","0073450",21.91,9,9003,25540,99.60159363,"Hartford-West Hartford-East Hartford, CT",4.54594220127796
