"RPI1 Real Personal Income 1/"
"Real per capita personal income (chained (2009) dollars) 2/" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"21340","El Paso, TX (Metropolitan Statistical Area)",32443
"21500","Erie, PA (Metropolitan Statistical Area)",37993
"21660","Eugene, OR (Metropolitan Statistical Area)",35039
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",41322
"21820","Fairbanks, AK (Metropolitan Statistical Area)",45043
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",48150
"22140","Farmington, NM (Metropolitan Statistical Area)",36567
"22180","Fayetteville, NC (Metropolitan Statistical Area)",36616
"22220","Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",51755
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",36863
"22420","Flint, MI (Metropolitan Statistical Area)",34592
"22500","Florence, SC (Metropolitan Statistical Area)",37677
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",37286
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",44729
"22660","Fort Collins, CO (Metropolitan Statistical Area)",39557
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",36177
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",40047
"23420","Fresno, CA (Metropolitan Statistical Area)",33861
"23460","Gadsden, AL (Metropolitan Statistical Area)",36177
"23540","Gainesville, FL (Metropolitan Statistical Area)",37176
"23580","Gainesville, GA (Metropolitan Statistical Area)",36714
"23900","Gettysburg, PA (Metropolitan Statistical Area)",41174
"24020","Glens Falls, NY (Metropolitan Statistical Area)",38686
"24140","Goldsboro, NC (Metropolitan Statistical Area)",36767
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",42687
"24260","Grand Island, NE (Metropolitan Statistical Area)",43891
"24300","Grand Junction, CO (Metropolitan Statistical Area)",37130
"24340","Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",42352
"24420","Grants Pass, OR (Metropolitan Statistical Area)",32990
"24500","Great Falls, MT (Metropolitan Statistical Area)",40404
"24540","Greeley, CO (Metropolitan Statistical Area)",35976
"24580","Green Bay, WI (Metropolitan Statistical Area)",44786
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",38515
"24780","Greenville, NC (Metropolitan Statistical Area)",36642
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",38069
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",35363
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",34458
"25220","Hammond, LA (Metropolitan Statistical Area)",36872
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",32102
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",44137
"25500","Harrisonburg, VA (Metropolitan Statistical Area)",33950
"25540","Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",51271
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",35834
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",35002
"25940","Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",42331
"25980","Hinesville, GA (Metropolitan Statistical Area)",30496
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",35539
"26300","Hot Springs, AR (Metropolitan Statistical Area)",39137
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",48714
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",50288
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",37391
"26620","Huntsville, AL (Metropolitan Statistical Area)",43684
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",38117
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",43348
"26980","Iowa City, IA (Metropolitan Statistical Area)",43492
"27060","Ithaca, NY (Metropolitan Statistical Area)",33170
"27100","Jackson, MI (Metropolitan Statistical Area)",35050
"27140","Jackson, MS (Metropolitan Statistical Area)",41933
"27180","Jackson, TN (Metropolitan Statistical Area)",40249
"27260","Jacksonville, FL (Metropolitan Statistical Area)",41610
"27340","Jacksonville, NC (Metropolitan Statistical Area)",43511
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",38514
"27620","Jefferson City, MO (Metropolitan Statistical Area)",43066
"27740","Johnson City, TN (Metropolitan Statistical Area)",36108
"27780","Johnstown, PA (Metropolitan Statistical Area)",40379
"27860","Jonesboro, AR (Metropolitan Statistical Area)",37060
"27900","Joplin, MO (Metropolitan Statistical Area)",35946
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",34188
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)",39375
"28100","Kankakee, IL (Metropolitan Statistical Area)",33132
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)",45613
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",35486
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)",38766
"28700","Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",38199
"28740","Kingston, NY (Metropolitan Statistical Area)",37164
"28940","Knoxville, TN (Metropolitan Statistical Area)",40208
"29020","Kokomo, IN (Metropolitan Statistical Area)",37724
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",42080
"29180","Lafayette, LA (Metropolitan Statistical Area)",46530
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",33558
"29340","Lake Charles, LA (Metropolitan Statistical Area)",41346
"29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",27239
"29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",32201
"29540","Lancaster, PA (Metropolitan Statistical Area)",38995
"29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)",35916
"29700","Laredo, TX (Metropolitan Statistical Area)",29405
"29740","Las Cruces, NM (Metropolitan Statistical Area)",30312
"29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",36858
"29940","Lawrence, KS (Metropolitan Statistical Area)",35792
"30020","Lawton, OK (Metropolitan Statistical Area)",37723
"30140","Lebanon, PA (Metropolitan Statistical Area)",39791
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",38603
"30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)",35274
"30460","Lexington-Fayette, KY (Metropolitan Statistical Area)",42069
"30620","Lima, OH (Metropolitan Statistical Area)",37140
"30700","Lincoln, NE (Metropolitan Statistical Area)",42979
"30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",41512
"30860","Logan, UT-ID (Metropolitan Statistical Area)",31064
"30980","Longview, TX (Metropolitan Statistical Area)",43794
"31020","Longview, WA (Metropolitan Statistical Area)",37519
"31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",39927
"31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",43287
"31180","Lubbock, TX (Metropolitan Statistical Area)",36847
"31340","Lynchburg, VA (Metropolitan Statistical Area)",36756
"31420","Macon, GA (Metropolitan Statistical Area)",38164
"31460","Madera, CA (Metropolitan Statistical Area)",31423
"31540","Madison, WI (Metropolitan Statistical Area)",47021
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)",47118
"31740","Manhattan, KS (Metropolitan Statistical Area)",38333
"31860","Mankato-North Mankato, MN (Metropolitan Statistical Area)",42640
"31900","Mansfield, OH (Metropolitan Statistical Area)",36108
"32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",25521
"32780","Medford, OR (Metropolitan Statistical Area)",35285
"32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)",41989
"32900","Merced, CA (Metropolitan Statistical Area)",32635
"33100","Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",41916
"33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)",38455
"33220","Midland, MI (Metropolitan Statistical Area)",45945
"33260","Midland, TX (Metropolitan Statistical Area)",87929
"33340","Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",46691
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",47700
"33540","Missoula, MT (Metropolitan Statistical Area)",36897
"33660","Mobile, AL (Metropolitan Statistical Area)",36399
"33700","Modesto, CA (Metropolitan Statistical Area)",33889
"33740","Monroe, LA (Metropolitan Statistical Area)",38852
"33780","Monroe, MI (Metropolitan Statistical Area)",37904
"33860","Montgomery, AL (Metropolitan Statistical Area)",40222
"34060","Morgantown, WV (Metropolitan Statistical Area)",40028
"34100","Morristown, TN (Metropolitan Statistical Area)",35491
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",40509
"34620","Muncie, IN (Metropolitan Statistical Area)",32781
"34740","Muskegon, MI (Metropolitan Statistical Area)",34101
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",33243
"34900","Napa, CA (Metropolitan Statistical Area)",42252
"34940","Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",68228
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",46460
"35100","New Bern, NC (Metropolitan Statistical Area)",41447
"35300","New Haven-Milford, CT (Metropolitan Statistical Area)",40960
"35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)",44376
"35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",46249
"35660","Niles-Benton Harbor, MI (Metropolitan Statistical Area)",41380
"35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",44694
"35980","Norwich-New London, CT (Metropolitan Statistical Area)",46012
"36100","Ocala, FL (Metropolitan Statistical Area)",33026
"36140","Ocean City, NJ (Metropolitan Statistical Area)",44463
"36220","Odessa, TX (Metropolitan Statistical Area)",44859
"36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)",35349
"36420","Oklahoma City, OK (Metropolitan Statistical Area)",46466
"36500","Olympia-Tumwater, WA (Metropolitan Statistical Area)",37555
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",47759
"36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",34915
"36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)",40617
"36980","Owensboro, KY (Metropolitan Statistical Area)",41220
"37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",40458
"37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",37568
"37460","Panama City, FL (Metropolitan Statistical Area)",36459
"37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)",39217
"37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",36405
"37900","Peoria, IL (Metropolitan Statistical Area)",43974
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",47160
"38060","Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",37538
"38220","Pine Bluff, AR (Metropolitan Statistical Area)",33691
"38300","Pittsburgh, PA (Metropolitan Statistical Area)",47880
"38340","Pittsfield, MA (Metropolitan Statistical Area)",45772
"38540","Pocatello, ID (Metropolitan Statistical Area)",32896
"38860","Portland-South Portland, ME (Metropolitan Statistical Area)",42667
"38900","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",41604
"38940","Port St. Lucie, FL (Metropolitan Statistical Area)",43197
"39140","Prescott, AZ (Metropolitan Statistical Area)",31608
"39300","Providence-Warwick, RI-MA (Metropolitan Statistical Area)",43809
"39340","Provo-Orem, UT (Metropolitan Statistical Area)",30478
"39380","Pueblo, CO (Metropolitan Statistical Area)",33573
"39460","Punta Gorda, FL (Metropolitan Statistical Area)",35283
"39540","Racine, WI (Metropolitan Statistical Area)",40535
"39580","Raleigh, NC (Metropolitan Statistical Area)",44773
"39660","Rapid City, SD (Metropolitan Statistical Area)",42182
"39740","Reading, PA (Metropolitan Statistical Area)",41089
"39820","Redding, CA (Metropolitan Statistical Area)",35521
"39900","Reno, NV (Metropolitan Statistical Area)",42823
"40060","Richmond, VA (Metropolitan Statistical Area)",45057
"40140","Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",28911
"40220","Roanoke, VA (Metropolitan Statistical Area)",41676
"40340","Rochester, MN (Metropolitan Statistical Area)",45785
"40380","Rochester, NY (Metropolitan Statistical Area)",41416
"40420","Rockford, IL (Metropolitan Statistical Area)",38520
"40580","Rocky Mount, NC (Metropolitan Statistical Area)",37904
"40660","Rome, GA (Metropolitan Statistical Area)",38432
"40900","Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",42076
"40980","Saginaw, MI (Metropolitan Statistical Area)",34988
"41060","St. Cloud, MN (Metropolitan Statistical Area)",39762
"41100","St. George, UT (Metropolitan Statistical Area)",29086
"41140","St. Joseph, MO-KS (Metropolitan Statistical Area)",36909
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)",48204
"41420","Salem, OR (Metropolitan Statistical Area)",34113
"41500","Salinas, CA (Metropolitan Statistical Area)",39310
"41540","Salisbury, MD-DE (Metropolitan Statistical Area)",41838
"41620","Salt Lake City, UT (Metropolitan Statistical Area)",38726
"41660","San Angelo, TX (Metropolitan Statistical Area)",41717
"41700","San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",40317
"41740","San Diego-Carlsbad, CA (Metropolitan Statistical Area)",40851
"41860","San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",54893
"41940","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",55325
