"","name","area","value","footnote_codes","state","county","cbsa","rpp.in.100.dollars","ratio"
"1511","Minnesota","2700000",18.69,NA,27,27063,NA,115.4734411,6.17835425896201
"1512","Minnesota","2700000",18.69,NA,27,27149,NA,115.4734411,6.17835425896201
"1513","Minnesota","2700000",18.69,NA,27,27085,26780,115.4734411,6.17835425896201
"1514","Minnesota","2700000",18.69,NA,27,27065,NA,115.4734411,6.17835425896201
"1515","Minnesota","2700000",18.69,NA,27,27107,NA,115.4734411,6.17835425896201
"1516","Minnesota","2700000",18.69,NA,27,27021,14660,115.4734411,6.17835425896201
"1517","Minnesota","2700000",18.69,NA,27,27069,NA,115.4734411,6.17835425896201
"1518","Minnesota","2700000",18.69,NA,27,27127,NA,115.4734411,6.17835425896201
"1519","Minnesota","2700000",18.69,NA,27,27099,12380,115.4734411,6.17835425896201
"1520","Minnesota","2700000",18.69,NA,27,27087,NA,115.4734411,6.17835425896201
"1521","Minnesota","2700000",18.69,NA,27,27115,NA,115.4734411,6.17835425896201
"1522","Minnesota","2700000",18.69,NA,27,27001,NA,115.4734411,6.17835425896201
"1523","Minnesota","2700000",18.69,NA,27,27105,49380,115.4734411,6.17835425896201
"1524","Minnesota","2700000",18.69,NA,27,27153,NA,115.4734411,6.17835425896201
"1525","Minnesota","2700000",18.69,NA,27,27029,NA,115.4734411,6.17835425896201
"1526","Minnesota","2700000",18.69,NA,27,27091,NA,115.4734411,6.17835425896201
"1527","Minnesota","2700000",18.69,NA,27,27093,NA,115.4734411,6.17835425896201
"1528","Minnesota","2700000",18.69,NA,27,27089,NA,115.4734411,6.17835425896201
"1529","Minnesota","2700000",18.69,NA,27,27125,NA,115.4734411,6.17835425896201
"1530","Minnesota","2700000",18.69,NA,27,27007,13420,115.4734411,6.17835425896201
"1531","Minnesota","2700000",18.69,NA,27,27101,NA,115.4734411,6.17835425896201
"1532","Minnesota","2700000",18.69,NA,27,27043,NA,115.4734411,6.17835425896201
"1533","Minnesota","2700000",18.69,NA,27,27081,NA,115.4734411,6.17835425896201
"1534","Minnesota","2700000",18.69,NA,27,27071,NA,115.4734411,6.17835425896201
"1535","Minnesota","2700000",18.69,NA,27,27041,10820,115.4734411,6.17835425896201
"1536","Minnesota","2700000",18.69,NA,27,27161,NA,115.4734411,6.17835425896201
"1537","Minnesota","2700000",18.69,NA,27,27121,NA,115.4734411,6.17835425896201
"1538","Minnesota","2700000",18.69,NA,27,27113,NA,115.4734411,6.17835425896201
"1539","Minnesota","2700000",18.69,NA,27,27047,10660,115.4734411,6.17835425896201
